codigo_candidato,data_cadastro,nome_completo,sexo,uf,faixa_etaria,nivel_educacional,setor_profissional,tempo_experiencia,qtd_certificacoes,idioma_principal,salario_esperado,salario_oferecido,aceita_viagem,aceita_mudanca,deficiencia,foi_contratado
1,2022-04-13,Candidato_1,Masculino,SP,23.0,Mestrado,Financeiro,4.8,3.0,Espanhol,7500.0,7200.0,Não,Sim,Não,0.0
2,2023-03-12,Candidato_2,Masculino,MG,,Ensino Médio,Administração,5.5,3.0,Francês,3700.0,3400.0,Sim,,Não,0.0
3,2022-09-28,Candidato_3,Masculino,DF,61.0,Doutorado,Administração,6.3,3.0,Espanhol,9200.0,9600.0,Não,Sim,Não,0.0
4,2022-04-17,Candidato_4,Outro,PE,28.0,,Engenharia,2.7,2.0,Espanhol,9300.0,10000.0,Não,Sim,Não,0.0
5,2022-03-13,Candidato_5,Outro,RS,19.0,Ensino Médio,Tecnologia,7.4,1.0,Nenhum,8100.0,8000.0,Sim,Não,Não,0.0
6,2023-12-02,Candidato_6,Feminino,SC,,Mestrado,Tecnologia,8.5,0.0,Espanhol,4000.0,4100.0,Não,Sim,Não,0.0
7,2022-01-21,Candidato_7,,DF,,Doutorado,Marketing,7.3,2.0,Espanhol,6800.0,7300.0,Sim,Não,Não,0.0
8,2023-09-07,Candidato_8,Outro,,61.0,Ensino Médio,,2.5,2.0,Francês,9900.0,,Sim,Não,Não,
9,2022-05-02,,Feminino,SC,,Doutorado,Educação,1.1,2.0,Espanhol,5900.0,6800.0,Sim,Não,Não,0.0
10,2023-04-12,Candidato_10,Outro,,38.0,Doutorado,Tecnologia,6.4,3.0,Alemão,,,Não,Não,,0.0
11,2022-08-03,Candidato_11,Masculino,BA,41.0,Mestrado,Engenharia,3.5,3.0,Francês,7100.0,8400.0,Sim,Não,Não,0.0
12,2022-11-27,,Masculino,PR,,Tecnólogo,Engenharia,,1.0,Inglês,8400.0,8900.0,,Sim,Não,0.0
13,2023-04-04,Candidato_13,Feminino,CE,39.0,Ensino Médio,Financeiro,8.1,2.0,Francês,6200.0,6900.0,Não,Sim,Não,0.0
14,2022-03-29,,Feminino,PR,20.0,Mestrado,Marketing,3.7,1.0,Espanhol,7200.0,7800.0,,Não,Não,0.0
15,2023-01-08,Candidato_15,,PE,29.0,Doutorado,Engenharia,4.2,2.0,Alemão,,7000.0,Não,,Não,0.0
16,2022-04-10,Candidato_16,Masculino,SC,45.0,Mestrado,Recursos Humanos,5.6,0.0,Francês,4800.0,4000.0,Não,Não,Não,0.0
17,2023-10-26,Candidato_17,Outro,CE,47.0,Tecnólogo,Administração,,1.0,Alemão,7500.0,8200.0,,Sim,,0.0
18,2022-05-11,Candidato_18,Masculino,RS,43.0,Ensino Médio,Recursos Humanos,3.5,1.0,Inglês,1600.0,1600.0,Não,Sim,Não,1.0
19,2023-10-24,Candidato_19,Feminino,,38.0,Tecnólogo,Administração,5.0,2.0,Inglês,5800.0,6300.0,Não,Sim,Não,1.0
20,2022-11-05,Candidato_20,Outro,,,Graduação,Saúde,4.4,,Nenhum,,8000.0,Sim,Sim,Não,0.0
21,2022-12-10,Candidato_21,Outro,PR,43.0,Ensino Médio,Marketing,6.2,1.0,Nenhum,9200.0,8500.0,Sim,Sim,Não,0.0
22,2023-05-07,Candidato_22,Masculino,SP,50.0,,Financeiro,10.5,2.0,Francês,7900.0,7200.0,Sim,Sim,Não,1.0
23,2023-02-18,Candidato_23,Feminino,CE,38.0,,Educação,5.2,4.0,Nenhum,4200.0,4600.0,,Sim,Não,1.0
24,2023-01-21,Candidato_24,Masculino,CE,52.0,Ensino Médio,Recursos Humanos,3.3,0.0,Alemão,9100.0,8300.0,Não,Não,Não,0.0
25,2022-07-11,Candidato_25,Outro,RJ,51.0,Ensino Médio,Recursos Humanos,7.8,1.0,Nenhum,4700.0,5100.0,Sim,Não,Não,0.0
26,2022-10-04,,Masculino,MG,,,Saúde,,4.0,Alemão,8200.0,7800.0,Sim,Não,Não,0.0
27,2022-06-10,Candidato_27,Masculino,BA,64.0,Doutorado,Administração,2.2,2.0,Nenhum,4800.0,5300.0,Sim,Sim,Não,0.0
28,2023-04-05,Candidato_28,Feminino,BA,35.0,,Financeiro,3.8,1.0,,5500.0,4700.0,,Sim,Não,0.0
29,2022-11-10,Candidato_29,,SP,28.0,Tecnólogo,Saúde,4.4,,Nenhum,5100.0,4500.0,Não,Não,Não,0.0
30,2022-01-22,Candidato_30,Outro,PE,40.0,Mestrado,Marketing,3.8,3.0,Espanhol,7300.0,7800.0,Não,Não,Não,1.0
31,2022-09-10,Candidato_31,Masculino,PE,39.0,Tecnólogo,Financeiro,4.9,1.0,Espanhol,6600.0,6800.0,Não,,Não,0.0
32,2023-07-15,Candidato_32,Masculino,RS,34.0,,Marketing,5.5,3.0,Nenhum,8000.0,7100.0,Não,Não,Não,0.0
33,2023-04-20,Candidato_33,Masculino,SC,,Graduação,Engenharia,7.1,3.0,Alemão,7000.0,8100.0,Sim,Não,Não,0.0
34,2022-02-28,Candidato_34,Outro,DF,61.0,,Tecnologia,5.2,2.0,Francês,4000.0,,Não,Não,Não,
35,2023-05-26,Candidato_35,Outro,MG,,Graduação,Engenharia,3.9,2.0,Inglês,7600.0,7400.0,Não,Não,Não,0.0
36,2023-11-13,Candidato_36,Feminino,PR,47.0,Tecnólogo,Marketing,7.0,4.0,Espanhol,,3100.0,Não,Sim,Não,0.0
