nome,idade,cidade,data_nasc,renda_mensal,comprou
Bruno,,RJ,15/09/1984,,1
,59.0,SC,01/12/1978,5587.73,0
Mariane,35.0,MG,24/11/1965,4574.79,0
Murilo,70.0,MG,28/01/1989,9305.1,0
Emanuelly,,SP,16/08/1984,5721.99,0
Marcos Vinicius,19.0,SP,28/02/1956,5065.01,1
Bruno,33.0,SP,10/05/1964,14563.7,1
Cauê,31.0,RS,13/02/1981,,1
Vinicius,53.0,MG,26/06/1979,9685.43,0
,70.0,MG,19/02/1998,11568.05,1
Eloah,27.0,SP,05/09/2003,7606.89,0
Isabelly,27.0,SC,07/08/1998,8451.56,0
,69.0,BA,13/01/1985,8028.13,0
Sophie,19.0,SP,05/07/1991,10005.86,0
Leonardo,68.0,SP,11/08/1978,,0
Enzo,19.0,SP,14/12/1977,6663.42,1
Yasmin,26.0,,25/11/1998,6403.74,1
Valentina,65.0,RJ,10/08/1997,6362.68,0
Lucas,67.0,RJ,02/06/1982,,1
,24.0,RJ,17/12/1968,4376.45,0
Lavínia,57.0,SP,08/10/1969,9771.54,0
Ana,60.0,MG,08/06/1982,7168.58,0
Joaquim,19.0,SP,26/08/1966,5574.88,0
Ana Vitória,43.0,SP,30/02/1993,,0
Sabrina,49.0,RJ,26/11/1995,6155.48,1
Ana Julia,,RJ,banana,8124.36,0
Maitê,22.0,BA,17/08/2001,13987.16,1
Enzo Gabriel,58.0,SP,20/10/1993,,0
João Lucas,56.0,RJ,13/12/1981,10516.48,1
Luiz Fernando,56.0,MG,22/12/2001,12454.79,0
Levi,62.0,SP,18/01/1977,,0
Stephany,59.0,MG,31/08/1986,11582.89,0
João Pedro,32.0,SP,07/09/1990,,0
Fernanda,47.0,SP,03/03/1998,6772.59,0
Esther,24.0,PR,29/09/1982,11657.72,1
Ana Júlia,60.0,SC,23/04/1991,8274.53,1
Maitê,27.0,BA,20/07/1988,4340.58,1
Lucas,23.0,,17/11/2000,8318.39,0
Leonardo,65.0,RJ,22/11/2000,7567.34,1
Rebeca,53.0,SP,11/07/1997,3792.28,0
Emilly,53.0,MG,23/01/1996,7409.61,1
Catarina,44.0,RJ,16/09/1976,9169.62,1
Erick,66.0,SP,24/05/1984,11381.71,0
Vitor Gabriel,64.0,RJ,01/06/1994,12713.32,1
Ana Luiza,56.0,SP,12/09/1964,,1
Kamilly,54.0,PR,02/08/1956,10729.16,1
Marina,48.0,,20/04/1970,1520.71,0
Guilherme,40.0,SP,08/06/1965,3320.94,1
Alexia,,MG,03/02/1961,12228.21,0
João,45.0,RJ,16/12/1998,4018.02,0
Caio,60.0,RJ,22/09/1970,,0
Luana,,RJ,07/07/1957,,0
Lucca,39.0,SP,28/08/1994,5404.11,0
Matheus,,SC,21/04/2006,8830.11,1
Davi Luiz,22.0,BA,08/02/1964,9526.42,0
Luiz Otávio,19.0,PR,25/09/1968,,1
Alícia,31.0,RS,15/11/1984,4415.94,1
Valentina,39.0,MG,21/01/2000,6287.4,0
Ana Vitória,64.0,PR,25/08/1971,,0
Thomas,54.0,SP,11/06/1970,14856.41,1
Júlia,27.0,SP,17/02/1975,7799.87,1
Stephany,21.0,SP,18/07/1973,13669.51,0
Ana,60.0,RJ,03/01/1957,,0
Rafaela,46.0,RJ,03/01/1998,10374.14,1
Ana Sophia,66.0,SP,20/08/1983,14160.33,0
Cauã,25.0,BA,06/11/1977,10650.74,0
Julia,55.0,RJ,10/06/1987,,0
Calebe,37.0,SP,16/12/2005,,0
Stella,56.0,RJ,12/07/1957,13762.18,0
Heitor,37.0,SP,07/07/1972,9150.63,0
Davi Lucas,66.0,BA,30/10/1980,,1
Bernardo,25.0,SP,20/01/2001,12828.42,0
João,45.0,SC,25/07/1972,12563.33,0
Joaquim,,BA,07/08/1983,3678.18,0
Luiz Felipe,53.0,SP,03/11/1954,13769.5,1
Davi Luiz,65.0,SP,19/12/1981,2518.37,1
Luigi,47.0,BA,04/06/1955,,0
Luana,54.0,MG,13/01/1977,8620.78,1
Pietro,63.0,MG,30/02/1993,11169.25,0
Lucca,43.0,BA,24/12/1997,6875.64,0
Clara,28.0,SP,12/05/1989,2256.16,0
Isabelly,41.0,RJ,30/12/1978,11957.25,1
Luigi,24.0,SP,24/01/1966,4688.18,1
Davi Lucca,43.0,RS,08/07/1963,2210.1,0
Caio,37.0,MG,27/11/1982,11494.21,0
Isis,67.0,RJ,16/11/2002,1348.18,1
Levi,58.0,SP,22/10/1960,3083.43,1
Lucca,30.0,RJ,08/08/1992,2141.67,0
Isabella,70.0,RJ,12/11/2004,7240.59,1
Theo,27.0,MG,15/02/2007,12813.56,1
Juliana,56.0,MG,03/09/1995,9576.44,0
Gabrielly,59.0,RS,13/09/1960,,1
Nicole,67.0,RJ,17/12/1993,10465.21,0
Luana,54.0,SP,23/01/1958,3318.25,0
Eduarda,54.0,MG,13/08/1982,,0
Ana Julia,58.0,BA,18/05/2002,1859.03,0
Ana Beatriz,22.0,MG,22/05/1964,5454.87,0
Cauê,37.0,BA,09/11/1956,1871.57,0
Caio,40.0,RJ,21/02/1979,14017.72,0
Renan,46.0,RJ,01/04/1957,3959.8,1
,36.0,RJ,16/11/1981,14852.21,0
Maria Clara,23.0,,14/05/1959,10583.44,0
Cecília,53.0,SP,23/12/1954,,0
Noah,69.0,SP,03/06/1992,1807.37,1
Vitor Hugo,48.0,SP,14/05/1976,5652.98,0
Davi,46.0,MG,30/05/1963,14093.72,0
Erick,39.0,RJ,29/09/1963,2867.09,1
Vicente,29.0,RJ,24/05/2002,5662.48,0
Davi,46.0,PR,03/11/1967,5564.12,0
Yasmin,57.0,SP,27/07/1956,,0
Juliana,36.0,RJ,31/05/1976,6291.92,0
Maria Cecília,39.0,BA,18/11/1971,6873.14,0
Gabrielly,59.0,SP,01/11/1997,2605.03,0
Pedro,,SP,09/03/1961,,0
Maria Cecília,36.0,SP,06/02/1988,10809.15,0
André,60.0,SP,12/06/1993,9967.88,0
Breno,55.0,PR,17/11/1964,10395.91,1
Thiago,37.0,BA,07/02/2000,9597.76,0
Benício,63.0,MG,23/09/1994,10040.17,0
Rafaela,42.0,RS,31/10/1955,10923.88,0
Pedro Henrique,60.0,BA,25/04/1968,9705.61,0
Juan,45.0,SP,17/05/1964,11383.2,1
Maria Julia,37.0,RS,02/10/1967,2026.94,0
Ana Beatriz,39.0,RJ,04/12/1961,3987.76,1
,26.0,BA,22/01/2007,,1
Gabriela,68.0,RS,07/05/2005,5735.92,0
,52.0,RJ,20/10/1972,12060.2,0
Ana Lívia,67.0,,17/11/1982,14690.43,1
Emanuella,27.0,SP,13/08/1969,4360.34,0
Catarina,62.0,SP,01/12/1999,4040.28,0
Raquel,20.0,RJ,12/02/1970,10377.08,0
João Pedro,64.0,BA,16/07/1969,10808.64,1
Enzo Gabriel,57.0,RS,16/01/1984,6464.51,0
Bianca,68.0,SP,07/04/2002,9891.0,1
Danilo,33.0,RJ,17/10/1984,2165.79,0
Maria Julia,68.0,RJ,21/05/1958,,0
Maria Cecília,30.0,SP,19/08/2000,,1
Enrico,54.0,SP,30/02/1993,,0
Lavínia,36.0,RJ,30/02/1993,11159.1,0
Luiz Miguel,44.0,PR,22/08/2006,9560.75,0
Maria Fernanda,69.0,RJ,10/12/1989,,0
Daniel,21.0,RJ,21/09/1956,11981.79,0
Pedro Lucas,53.0,MG,30/02/1993,6162.23,0
Bernardo,51.0,RJ,28/01/1963,,0
Manuela,66.0,SC,01/01/1960,12510.53,0
Luana,50.0,SC,26/07/1979,6463.59,1
Isadora,23.0,SP,23/09/1998,13917.15,1
Ana Lívia,40.0,RJ,31/07/2004,3624.65,1
Maria Clara,43.0,RJ,04/11/1997,7459.72,0
Júlia,23.0,SP,27/12/1957,7835.65,0
Carlos Eduardo,38.0,SP,27/01/2000,,1
Mariane,59.0,MG,22/09/1959,1257.69,0
Daniel,26.0,RJ,23/06/1993,13974.54,1
Larissa,48.0,SP,23/04/1992,6349.4,0
Ana Laura,48.0,,09/08/1971,14827.8,1
Agatha,23.0,SP,26/04/1968,1735.81,1
Samuel,27.0,PR,11/09/1964,9005.4,0
Isis,36.0,SP,20/11/1961,14407.94,0
Thiago,21.0,SP,23/12/1960,7942.98,1
Nathan,68.0,,22/05/1999,10182.51,0
Isaac,,RJ,12/08/1972,4544.47,1
Evelyn,58.0,SC,22/12/1962,6187.52,0
Raul,36.0,,11/11/1972,10105.6,1
Valentina,40.0,SP,14/09/1975,14230.86,0
Alana,29.0,MG,18/05/1988,,0
Leandro,41.0,BA,11/04/1997,,1
Emanuella,52.0,SP,30/09/1964,9289.01,0
Luna,48.0,MG,21/11/1981,3805.76,0
Vitor Hugo,41.0,RJ,15/02/1974,,0
Pedro Henrique,40.0,MG,15/03/1978,8558.18,1
Lorenzo,64.0,MG,14/10/2002,11328.28,0
Thiago,65.0,RJ,04/11/1982,,1
Luna,,SP,27/02/1969,4912.49,0
Valentina,59.0,BA,02/10/1998,6691.99,0
Bruno,61.0,RJ,15/02/1967,,0
Bruna,48.0,SP,17/06/1965,,0
Bernardo,22.0,SP,23/07/2001,10232.39,0
Igor,30.0,MG,28/01/1978,,1
Helena,20.0,MG,13/12/2000,3711.38,1
Luiz Miguel,50.0,SP,18/09/1955,12438.31,0
Raul,52.0,RJ,19/09/1971,,1
Luiza,66.0,SP,08/08/1979,,0
Maria Vitória,67.0,MG,10/08/1997,13799.01,1
Esther,39.0,SP,01/07/1963,3492.54,0
Pietro,,MG,04/11/1962,2920.61,0
Erick,65.0,RJ,17/02/2007,9281.92,0
Levi,42.0,PR,08/10/1967,11695.36,1
Arthur,49.0,SP,12/12/1965,11574.82,1
